Altium Designer Pick and Place Locations
E:\Clients\MOD Devices GmbH\MOD DUO X\Project Outputs for mod_duo_x\Pick Place for duo_x(PRODUCTION).csv

========================================================================================================================
File Design Information:

Date:       28/02/22
Time:       17:40
Revision:   Not in VersionControl
Variant:    PRODUCTION
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C1","0.1uF","BottomLayer","CAPC1005N","65.8800","99.2779","315","CAP CER 0.1UF 50V X7R 0402"
"C2","39pF","BottomLayer","CAPC1608N","51.2750","101.9810","135","CAP CER 39PF 50V NP0 0603"
"C3","39pF","BottomLayer","CAPC1608N","45.6870","107.5690","135","CAP CER 39PF 50V NP0 0603"
"C4","0.1uF","BottomLayer","CAPC1608N","32.5285","101.5942","180","CAP CER 0.1UF 25V X7R 0603"
"C5","10uF","BottomLayer","CAPC1608N","29.5695","98.5842","270","CAP CER 10UF 10V X5R 0603"
"C6","0.1uF","BottomLayer","CAPC1608N","35.6540","103.1240","180","CAP CER 0.1UF 25V X7R 0603"
"C7","0.1uF","BottomLayer","CAPC1005N","56.7360","120.6500","315","CAP CER 0.1UF 50V X7R 0402"
"C8","0.1uF","BottomLayer","CAPC1005N","66.1340","128.3696","360","CAP CER 0.1UF 50V X7R 0402"
"C9","0.1uF","BottomLayer","CAPC1005N","66.1407","129.5400","360","CAP CER 0.1UF 50V X7R 0402"
"C10","0.1uF","BottomLayer","CAPC1005N","60.4663","123.4198","315","CAP CER 0.1UF 50V X7R 0402"
"C11","0.1uF","BottomLayer","CAPC1005N","93.8200","119.8880","135","CAP CER 0.1UF 50V X7R 0402"
"C12","0.1uF","BottomLayer","CAPC1005N","94.3280","107.3150","135","CAP CER 0.1UF 50V X7R 0402"
"C13","0.1uF","BottomLayer","CAPC1005N","91.1977","104.1977","135","CAP CER 0.1UF 50V X7R 0402"
"C14","0.1uF","BottomLayer","CAPC1005N","88.5029","101.7270","135","CAP CER 0.1UF 50V X7R 0402"
"C15","10uF","BottomLayer","CAPC1608N","55.7200","119.7610","315","CAP CER 10UF 10V X5R 0603"
"C18","10uF","BottomLayer","CAPC1608N","34.0030","91.0590","180","CAP CER 10UF 10V X5R 0603"
"C19","0.1uF","BottomLayer","CAPC1608N","34.0030","89.5350","180","CAP CER 0.1UF 25V X7R 0603"
"C20","0.33uF","BottomLayer","CAPC2012N","27.0180","90.5510","90","CAP CER 0.33UF 50V X7R 0805"
"C21","2.2uF","TopLayer","CAPC2012N","28.4150","82.1690","180","CAP CER 2.2UF 16V X7R 0805"
"C22","2.2uF","BottomLayer","CAPC2012N","30.7010","89.7890","180","CAP CER 2.2UF 16V X7R 0805"
"C23","10uF","BottomLayer","CAPC1608N","109.9490","89.5350","180","CAP CER 10UF 10V X5R 0603"
"C24","0.1uF","BottomLayer","CAPC1608N","109.9490","91.0590","180","CAP CER 0.1UF 25V X7R 0603"
"C25","0.33uF","BottomLayer","CAPC2012N","102.9213","90.5120","90","CAP CER 0.33UF 50V X7R 0805"
"C26","2.2uF","TopLayer","CAPC2012N","104.4880","82.1690","180","CAP CER 2.2UF 16V X7R 0805"
"C27","2.2uF","BottomLayer","CAPC2012N","106.6470","89.7890","180","CAP CER 2.2UF 16V X7R 0805"
"C28","0.1uF","TopLayer","CAPC1608N","74.5160","40.1320","180","CAP CER 0.1UF 25V X7R 0603"
"C29","100uF","TopLayer","CAPAE6553X55M","141.9530","77.5970","180","CAP ALUM 100UF 20% 10V SMD"
"C30","22uF","TopLayer","CAPC2012N","137.5080","60.9600","360","CAP CER 22UF 6.3V X5R 0805"
"C31","10uF","TopLayer","CAPC2012N","130.3325","60.9600","180","CAP CER 10UF 25V X5R 0805"
"C32","0.1uF","BottomLayer","CAPC1005N","82.9413","95.3337","135","CAP CER 0.1UF 50V X7R 0402"
"C33","0.1uF","BottomLayer","CAPC1005N","63.0860","100.7110","45","CAP CER 0.1UF 50V X7R 0402"
"C34","0.1uF","BottomLayer","CAPC1005N","82.2630","131.6990","180","CAP CER 0.1UF 50V X7R 0402"
"C35","0.1uF","BottomLayer","CAPC1005N","88.3740","128.0160","180","CAP CER 0.1UF 50V X7R 0402"
"C36","22uF","TopLayer","CAPC2012N","142.6850","73.1066","0","CAP CER 22UF 6.3V X5R 0805"
"C16A","0.01uF","TopLayer","CAPC1608N","113.9000","63.8880","360","CAP CER 10000PF 50V X7R 0603"
"C17A","0.01uF","TopLayer","CAPC1608N","113.9001","62.3640","180","CAP CER 10000PF 50V X7R 0603"
"C16B","0.01uF","TopLayer","CAPC1608N","37.9000","63.8880","360","CAP CER 10000PF 50V X7R 0603"
"C17B","0.01uF","TopLayer","CAPC1608N","37.9001","62.3642","180","CAP CER 10000PF 50V X7R 0603"
"D1","1N4148","BottomLayer","SOD-323","26.5215","98.5842","270","DIODE SWITCHING 75V 0.15A SOD323"
"D2","1N4148","BottomLayer","SOD-323","36.6815","100.0702","360","DIODE SWITCHING 75V 0.15A SOD323"
"D3","1N4148","BottomLayer","SOD-323","13.7709","76.4540","90","DIODE SWITCHING 75V 0.15A SOD323"
"E1A","PEC11R","TopLayer","PEC11R","113.9663","76.0347","90","ENCODER ROTARY 15MM SHAFT"
"E1B","PEC11R","TopLayer","PEC11R","37.9663","76.0347","90","ENCODER ROTARY 15MM SHAFT"
"FID1","1mm","BottomLayer","FID_1X2MM_R","139.4386","125.7996","90","FIDUCIAL RECTANGLE 1MM-2MM"
"FID2","1mm","BottomLayer","FID_1X2MM_C","2.2530","11.5570","90","FIDUCIAL ROUND 1MM-2MM"
"FID3","1mm","BottomLayer","FID_1X2MM_C","146.7790","11.5570","90","FIDUCIAL ROUND 1MM-2MM"
"FID4","1mm","TopLayer","FID_1X2MM_R","32.8600","124.3330","90","FIDUCIAL RECTANGLE 1MM-2MM"
"FID5","1mm","TopLayer","FID_1X2MM_C","2.2530","11.5570","90","FIDUCIAL ROUND 1MM-2MM"
"FID6","1mm","TopLayer","FID_1X2MM_C","146.7790","11.5570","90","FIDUCIAL ROUND 1MM-2MM"
"GLCD1","ERC12864FS","TopLayer","ERC12864FS","37.7163","110.5347","180","SERIAL SPI 2.8"GLCD 128x64 UC1701 CONTROLLER"
"GLCD2","ERC12864FS","TopLayer","ERC12864FS","113.7163","110.5347","180","SERIAL SPI 2.8"GLCD 128x64 UC1701 CONTROLLER"
"L1","600R","BottomLayer","INDC1608N","64.9300","98.2980","135","FERRITE BEAD 600 OHM 1.0A 0603"
"LED3","BL-HJXGXBX32N","TopLayer","BL-HJXGXBX32N","-4.8337","27.2353","360","LED RGB 6PLCC SMD"
"LED4","BL-HJXGXBX32N","TopLayer","BL-HJXGXBX32N","-4.8337","47.4353","360","LED RGB 6PLCC SMD"
"LED5","BL-HJXGXBX32N","TopLayer","BL-HJXGXBX32N","156.2663","47.4353","180","LED RGB 6PLCC SMD"
"LED6","BL-HJXGXBX32N","TopLayer","BL-HJXGXBX32N","156.2663","27.2353","180","LED RGB 6PLCC SMD"
"LED2A","BL-HJXGXBX32N","TopLayer","BL-HJXGXBX32N","60.7160","80.3350","360","LED RGB 6PLCC SMD"
"LED2B","BL-HJXGXBX32N","TopLayer","BL-HJXGXBX32N","75.7163","80.3350","360","LED RGB 6PLCC SMD"
"LED2C","BL-HJXGXBX32N","TopLayer","BL-HJXGXBX32N","90.7163","80.3350","360","LED RGB 6PLCC SMD"
"LED2D","BL-HJXGXBX32N","TopLayer","BL-HJXGXBX32N","18.7163","4.3000","360","LED RGB 6PLCC SMD"
"LED2E","BL-HJXGXBX32N","TopLayer","BL-HJXGXBX32N","56.7163","4.3000","360","LED RGB 6PLCC SMD"
"LED2F","BL-HJXGXBX32N","TopLayer","BL-HJXGXBX32N","94.7163","4.3000","360","LED RGB 6PLCC SMD"
"LED2G","BL-HJXGXBX32N","TopLayer","BL-HJXGXBX32N","132.7163","4.3000","360","LED RGB 6PLCC SMD"
"P1","F51L-1A7H1-11024","BottomLayer","F51L-1A7H1-11024","11.7420","65.0310","180","FLEX CONNECTOR, 1.00MM PITCH, HE"
"P2","Header 5X2H","TopLayer","HDR2x5_1P27","10.1270","72.5170","360","Header, 5-Pin, Dual row, Right Angle"
"Q1","2N7002","BottomLayer","SOT23-3N","86.0938","94.9960","270","MOSFET N-CH 60V 115MA SOT-23"
"Q5","2N7002","BottomLayer","SOT23-3N","8.2453","88.3920","90","MOSFET N-CH 60V 115MA SOT-23"
"Q6","2N7002","BottomLayer","SOT23-3N","88.8398","85.5068","360","MOSFET N-CH 60V 115MA SOT-23"
